Date,Discount
2/15/23,-32.35
2/16/23,-32.21
2/17/23,-32.21
2/20/23,-32.32
2/21/23,-32.25
2/22/23,-31.92
2/23/23,-32.07
2/24/23,-32.17
2/27/23,-32.02
2/28/23,-30.81
3/1/23,-29.9
3/2/23,-28.57
3/3/23,-27.63
3/6/23,-26.27
3/7/23,-26.12
3/8/23,-25.97
3/9/23,-25.68
3/10/23,-25.59
3/13/23,-25.29
3/14/23,-25.05
3/15/23,-25.52
3/16/23,-25.88
3/17/23,-25.69
3/20/23,-26.14
3/27/23,-26.4
3/28/23,-25.51
3/29/23,-24.49
3/30/23,-23.96
3/31/23,-22.96
4/3/23,-21.84
4/4/23,-21.9
4/5/23,-21.93
4/6/23,-21.78
4/7/23,-21.69
4/10/23,-21.5
4/11/23,-21.34
4/12/23,-21.3
4/13/23,-21.1
4/14/23,-21.03
4/17/23,-20.96
4/18/23,-20.78
4/19/23,-20.61
4/20/23,-20.75
4/21/23,-20.78
4/24/23,-20.87
4/25/23,-20.91
4/26/23,-20.5
4/27/23,-20.59
4/28/23,-20.42
5/1/23,-20.18
5/2/23,-19.9
5/3/23,-20.3
5/4/23,-20.03
5/5/23,-20.05
5/8/23,-20.02
5/9/23,-20.56
5/10/23,-20.4
5/11/23,-20.49
5/12/23,-20.34
5/15/23,-20.33
5/16/23,-19.88
5/17/23,-20.14
5/18/23,-20.04
5/19/23,-20.13
5/22/23,-20.12
5/23/23,-20.08
5/24/23,-19.96
5/25/23,-20.14
5/26/23,-20.16
5/29/23,-20.15
5/30/23,-20.06
5/31/23,-20.17
6/1/23,-19.94
6/2/23,-20
6/5/23,-19.88
6/6/23,-19.99
6/7/23,-19.76
6/8/23,-19.76
6/9/23,-19.44
6/12/23,-19.57
6/13/23,-19.59
6/14/23,-19.49
6/15/23,-19.52
6/16/23,-19.77
6/19/23,-19.58
6/20/23,-19.56
6/21/23,-19.55
6/22/23,-19.36
6/23/23,-19.22
6/26/23,-19.24
6/27/23,-18.82
6/28/23,-18.64
6/29/23,-18.61
6/30/23,-18.38
7/3/23,-17.93
7/4/23,-17.99
7/5/23,-17.96
7/6/23,-18.06
7/7/23,-17.85
