Date,Discount
02/14/23,-32.30
02/15/23,-32.35
02/16/23,-32.21
02/17/23,-32.21
02/20/23,-32.32
02/21/23,-32.25
02/22/23,-31.92
02/23/23,-32.07
02/24/23,-32.17
02/27/23,-32.02
02/28/23,-30.81
03/01/23,-29.90
03/02/23,-28.57
03/03/23,-27.63
03/06/23,-26.27
03/07/23,-26.12
03/08/23,-25.97
03/09/23,-25.68
03/10/23,-25.59
03/13/23,-25.29
03/14/23,-25.05
03/15/23,-25.52
03/16/23,-25.88
03/17/23,-25.69
03/20/23,-26.14
03/27/23,-26.40
03/28/23,-25.51
03/29/23,-24.49
03/30/23,-23.96
03/31/23,-22.96
04/03/23,-21.84
04/04/23,-21.90
04/05/23,-21.93
04/06/23,-21.78
04/07/23,-21.69
04/10/23,-21.50
04/11/23,-21.34
04/12/23,-21.30
04/13/23,-21.10
04/14/23,-21.03
04/17/23,-20.96
04/18/23,-20.78
04/19/23,-20.61
04/20/23,-20.75
04/21/23,-20.78
04/24/23,-20.87
04/25/23,-20.91
04/26/23,-20.50
04/27/23,-20.59
04/28/23,-20.42
05/01/23,-20.18
05/02/23,-19.90
05/03/23,-20.30
05/04/23,-20.03
05/05/23,-20.05
05/08/23,-20.02
05/09/23,-20.56
05/10/23,-20.40
05/11/23,-20.49
05/12/23,-20.34
05/15/23,-20.33
05/16/23,-19.88
05/17/23,-20.14
05/18/23,-20.04
05/19/23,-20.13
05/22/23,-20.12
05/23/23,-20.08
05/24/23,-19.96
05/25/23,-20.14
05/26/23,-20.16
05/29/23,-20.15
05/30/23,-20.06
05/31/23,-20.17
06/01/23,-19.94
06/02/23,-20
06/05/23,-19.88
06/06/23,-19.99
06/07/23,-19.76
06/08/23,-19.76
06/09/23,-19.44
06/12/23,-19.57
06/13/23,-19.59
06/14/23,-19.49
06/15/23,-19.52
06/16/23,-19.77
06/19/23,-19.58
06/20/23,-19.56
06/21/23,-19.55
06/22/23,-19.36
06/23/23,-19.22
06/26/23,-19.24
06/27/23,-18.82
06/28/23,-18.64
06/29/23,-18.61
06/30/23,-18.38
07/03/23,-17.93
07/04/23,-17.99
07/05/23,-17.96
07/06/23,-18.06
07/07/23,-17.85
07/10/23,-17.92
07/11/23,-17.97
07/12/23,-16.61
07/13/23,-16.50
07/14/23,-16.65
07/17/23,-16.65
07/18/23,-16.58
07/19/23,-17.32
07/20/23,-16.84
07/21/23,-16.63
07/24/23,-16.40
07/25/23,-16.14
07/26/23,-16.18
07/27/23,-16.16
07/28/23,-16.21
07/31/23,-16.19
08/01/23,-16.08
08/02/23,-16.23
08/03/23,-16.26
08/04/23,-16.15
08/07/23,-16.16
08/08/23,-16.38
08/09/23,-16.50
08/10/23,-16.28
8/11/2023,-16.17
8/14/2023,-16.11
8/15/2023,-15.83
8/16/2023,-15.42
8/17/2023,-15.44
8/18/2023,-15.77
8/21/2023,-15.87
8/22/2023,-16.08
8/23/2023,-16.56
8/24/2023,-16.93
8/25/2023,-16.92
8/28/2023,-17.12
8/29/2023,-17.27
8/30/2023,-17.42
8/31/2023,-17.41
9/1/2023,-17.50
9/4/2023,-17.46
9/5/2023,-17.22
9/6/2023,-17.18
9/7/2023,-17.05
9/8/2023,-16.86
9/11/2023,-16.87
9/12/2023,-16.96
9/13/2023,-16.83
9/14/2023,-17.03
9/15/2023,-17.12
9/18/2023,-17.03
9/19/2023,-16.91
9/20/2023,-16.46
9/21/23,-16.18
9/22/23,-16.05
9/25/23,-16.17
9/26/23,-16.38
9/27/23,-16.37
9/28/23,-16.01
9/29/23,-15.65
10/2/23,-15.20
10/3/23,-14.72
10/4/23,-14.41
10/5/23,-14.46
10/6/23,-14.53
10/9/23,-14.58
10/10/23,-14.65
10/11/23,-15.11
10/12/23,-15.07
10/13/23,-15.30
10/16/23,-15.11
10/17/23,-15.46
10/18/23,-15.45
10/19/23,-15.77
10/20/23,-15.26
10/23/23,-15.09
10/24/23,-14.75
10/25/23,-15.03
10/26/23,-14.69
10/27/23,-15.32
10/30/23,-16.11
10/31/23,-15.44
11/1/23,-14.83
11/2/23,-15.09
11/3/23,-14.66
11/6/23,-14.08
11/7/23,-14.47
11/8/23,-14.56
11/9/23,-14.31
11/10/23,-14.37
11/13/23,-14.69
11/14/23,-14.91
11/15/23,-15.21
11/16/23,-15.48
11/17/23,-16.03
11/20/23,-16.15
11/21/23,-17.07
11/22/23,-18.30
11/23/23,-19.02
11/24/23,-18.88
11/27/23,-19.26
11/28/23,-19.07
11/29/23,-18.71
11/30/23,-18.48
12/1/23,-18.38
12/4/23,-18.40
12/5/23,-18.24
12/6/23,-17.98
12/7/23,-18.10
12/8/23,-18.22
12/11/23,-17.98
12/12/23,-18.21
