Dates,,,,,,Discount
1/20/22,83.21,83.69,82.89,83.18,85.61,-2.32
1/19/22,82.295,82.83,82.205,82.26,84.64,-2.1225
1/18/22,82.61,83.2,82.705,82.58,84.95,-1.9975
1/17/22,81.075,81.665,81.24,81.04,83.46,-2.0075
1/14/22,78.48,79.05,78.595,78.445,81.4,-2.5775
1/13/22,79.09,79.655,79.135,79.055,82.11,-2.715
1/12/22,79.295,79.925,79.425,79.255,82.5,-2.825
1/11/22,77.815,78.575,78.025,77.775,81.305,-3.005
1/10/22,76.045,76.685,76.1,76.005,79.72,-3.3275
1/7/22,74.04,74.7,74.1,73.995,77.78,-3.38
