commodity_group,departure_date,destination,volume,Date
Oil products,2022-03-18T00:00:00Z,EU,1.600878229,3/18/2022
Oil products,2022-03-19T00:00:00Z,EU,1.592242301,3/19/2022
Oil products,2022-03-20T00:00:00Z,EU,1.56922473,3/20/2022
Oil products,2022-03-21T00:00:00Z,EU,1.514533053,3/21/2022
Oil products,2022-03-22T00:00:00Z,EU,1.52338976,3/22/2022
Oil products,2022-03-23T00:00:00Z,EU,1.490458997,3/23/2022
Oil products,2022-03-24T00:00:00Z,EU,1.529703202,3/24/2022
Oil products,2022-03-25T00:00:00Z,EU,1.497860527,3/25/2022
Oil products,2022-03-26T00:00:00Z,EU,1.462853686,3/26/2022
Oil products,2022-03-27T00:00:00Z,EU,1.403880873,3/27/2022
Oil products,2022-03-28T00:00:00Z,EU,1.404234435,3/28/2022
Oil products,2022-03-29T00:00:00Z,EU,1.415920954,3/29/2022
Oil products,2022-03-30T00:00:00Z,EU,1.389951333,3/30/2022
Oil products,2022-03-31T00:00:00Z,EU,1.396735095,3/31/2022
Oil products,2022-04-01T00:00:00Z,EU,1.354669058,4/1/2022
Oil products,2022-04-02T00:00:00Z,EU,1.373897588,4/2/2022
Oil products,2022-04-03T00:00:00Z,EU,1.367246355,4/3/2022
Oil products,2022-04-04T00:00:00Z,EU,1.325301691,4/4/2022
Oil products,2022-04-05T00:00:00Z,EU,1.33398196,4/5/2022
Oil products,2022-04-06T00:00:00Z,EU,1.339837103,4/6/2022
Oil products,2022-04-07T00:00:00Z,EU,1.325748671,4/7/2022
Oil products,2022-04-08T00:00:00Z,EU,1.306346114,4/8/2022
Oil products,2022-04-09T00:00:00Z,EU,1.297026307,4/9/2022
Oil products,2022-04-10T00:00:00Z,EU,1.298442275,4/10/2022
Oil products,2022-04-11T00:00:00Z,EU,1.308830504,4/11/2022
Oil products,2022-04-12T00:00:00Z,EU,1.290236008,4/12/2022
Oil products,2022-04-13T00:00:00Z,EU,1.309488466,4/13/2022
Oil products,2022-04-14T00:00:00Z,EU,1.334555793,4/14/2022
Oil products,2022-04-15T00:00:00Z,EU,1.341655002,4/15/2022
